latitude_deg,longitude_deg,altitude_m,timestamp,observed_total_nt,observed_declination_deg,observed_inclination_deg,baseline_total_nt,baseline_declination_deg,baseline_inclination_deg,residual_total_nt,residual_declination_deg,residual_inclination_deg
43.2,-80.8,0.0,2026-03-24 00:00:00,52000.0,-7.8,58.0,52842.645693425286,-9.419286559809336,68.82938210889073,-842.6456934252856,1.6192865598093364,-10.829382108890726
43.21259842519685,-80.78110236220472,0.0,2026-03-24 00:05:00,52049.3932091529,-7.800244716757148,58.037071376275826,52846.49257708067,-9.433728686064962,68.83613976059068,-797.0993679277744,1.6334839693078136,-10.799068384314857
43.2251968503937,-80.76220472440944,0.0,2026-03-24 00:10:00,52098.30322026464,-7.800978268165679,58.07393868488474,52850.33440113898,-9.448166837032916,68.84289291550688,-752.0311808743354,1.6471885688672376,-10.768954230622143
43.23779527559056,-80.74330708661417,0.0,2026-03-24 00:15:00,52146.251562266705,-7.802198859102374,58.110398981495855,52854.17116804006,-9.462600995781367,68.84964158062131,-707.919605773357,1.660402136678993,-10.739242599125454
43.250393700787406,-80.72440944881889,0.0,2026-03-24 00:20:00,52192.769171793305,-7.8039035025766745,58.146251562266706,52858.00288023028,-9.477031145400241,68.85638576291876,-665.2337084369719,1.6731276428235669,-10.710134200652057
43.262992125984255,-80.70551181102363,0.0,2026-03-24 00:25:00,52237.40098187901,-7.80608802704035,58.181299068662334,52861.82954016214,-9.491457269001144,68.86312546938662,-624.4285582831362,1.6853692419607933,-10.681826400724283
43.275590551181104,-80.68661417322835,0.0,2026-03-24 00:30:00,52279.71037373398,-7.808747086595974,58.21534857385941,52865.65115029483,-9.505879349717645,68.8698607070152,-585.9407765608485,1.697132263121671,-10.654512133155798
43.28818897637795,-80.66771653543307,0.0,2026-03-24 00:35:00,52319.283448046604,-7.8118741740792315,58.248212644755014,52869.46771309364,-9.520297370705274,68.87659148279741,-550.1842650470353,1.7084231966260424,-10.628378838042394
43.30078740157481,-80.6488188976378,0.0,2026-03-24 00:40:00,52355.733074028714,-7.815461636983039,58.27971037373398,52873.27923103036,-9.53471131514155,68.88331780372889,-517.5461570016487,1.7192496781585112,-10.60360742999491
43.31338582677166,-80.62992125984252,0.0,2026-03-24 00:45:00,52388.70267659281,-7.819500696184515,58.309668374515255,52877.08570658313,-9.549121166226154,68.89003967680787,-488.3830299903202,1.729620470041639,-10.580371302292619
43.32598425196851,-80.61102362204724,0.0,2026-03-24 00:50:00,52417.86972461266,-7.823981467428962,58.33792173659541,52880.88714223629,-9.563526907180968,68.89675710903526,-463.01741762363235,1.739545439752006,-10.558835372439852
43.338582677165356,-80.59212598425196,0.0,2026-03-24 00:55:00,52442.948886142614,-7.828892985518297,58.364314933035295,52884.68354048073,-9.577928521250207,68.9034701074146,-441.7346543381136,1.7490355357319105,-10.53915517437931
43.351181102362204,-80.57322834645669,0.0,2026-03-24 01:00:00,52463.69481972921,-7.8342232311447235,58.388702676592814,52888.47490381336,-9.592325991700452,68.91017867895198,-424.7800840841519,1.7581027605557287,-10.521476002359165
43.36377952755906,-80.55433070866141,0.0,2026-03-24 01:05:00,52479.90457450849,-7.839959160303996,58.41095071948898,52892.26123473754,-9.606719301820748,68.91688283065601,-412.35666022905207,1.7667601415167518,-10.505932111167027
43.37637795275591,-80.53543307086613,0.0,2026-03-24 01:10:00,52491.41957560971,-7.846086736216286,58.430936592404784,52896.04253576277,-9.621108434922697,68.92358256953788,-404.62296015305765,1.7750216987064107,-10.492645977133101
43.38897637795276,-80.51653543307087,0.0,2026-03-24 01:15:00,52498.12717544284,-7.852590963676527,58.44855027864091,52899.81880940492,-9.635493374340571,68.93027790261128,-401.69163396208023,1.782902410664044,-10.481727623970372
43.40157480314961,-80.4976377952756,0.0,2026-03-24 01:20:00,52499.96175569401,-7.859455925750202,58.463694819729206,52903.59005818604,-9.64987410343131,68.93696883689233,-403.628302492034,1.790418177681108,-10.473274017163128
43.414173228346456,-80.47874015748032,0.0,2026-03-24 01:25:00,52496.905369248656,-7.866664822724744,58.47628684916222,52907.35628463443,-9.664250605574704,68.94365537939964,-410.45091538577253,1.7975857828499597,-10.467368530237422
