latitude,longitude,altitude,time,total_field_nt,declination_deg,inclination_deg,label_anomaly,platform_id,dataset_split
43.92,-81.67999999999999,0.0,2026-03-25 00:00:00,52140.0,-7.6,57.84,False,train_run_5,train
43.942535211267604,-81.64619718309858,0.0,2026-03-25 00:05:00,52228.03425752302,-7.600782635585011,57.906176927132115,False,train_run_5,train
43.96507042253521,-81.61239436619718,0.0,2026-03-25 00:10:00,52313.317957601306,-7.603124417155454,57.97118947532099,False,train_run_5,train
43.987605633802815,-81.57859154929577,0.0,2026-03-25 00:15:00,52393.18648167882,-7.607007017095438,58.03389375279895,False,train_run_5,train
44.010140845070424,-81.54478873239437,0.0,2026-03-25 00:20:00,52465.14440388747,-7.612400048796206,58.09318648167883,False,train_run_5,train
44.032676056338026,-81.51098591549295,0.0,2026-03-25 00:25:00,52526.94345856105,-7.619261304472559,58.14802441006019,False,train_run_5,train
44.055211267605635,-81.47718309859154,0.0,2026-03-25 00:30:00,52576.65278543345,-7.6275370854959945,58.19744266798209,False,train_run_5,train
44.07774647887324,-81.44338028169014,0.0,2026-03-25 00:35:00,52612.71925776798,-7.637162622659285,58.240571744250374,False,train_run_5,train
44.10028169014085,-81.40957746478873,0.0,2026-03-25 00:40:00,52634.01600851568,-7.648062583083343,58.27665278543345,False,train_run_5,train
44.12281690140845,-81.37577464788731,0.0,2026-03-25 00:45:00,52639.87763834262,-7.660151659799137,58.30505094784145,False,train_run_5,train
44.14535211267606,-81.34197183098591,0.0,2026-03-25 00:50:00,52630.1210054809,-7.673335239390391,58.32526656756179,False,train_run_5,train
44.16788732394366,-81.3081690140845,0.0,2026-03-25 00:55:00,52605.050947841446,-7.687510142471844,58.33694395201478,False,train_run_5,train
44.19042253521127,-81.2743661971831,0.0,2026-03-25 01:00:00,52565.45075860603,-7.702565431207841,58.33987763834263,False,train_run_5,train
44.21295774647887,-81.24056338028169,0.0,2026-03-25 01:05:00,52512.55771288071,-7.718383277551307,58.33401600851568,False,train_run_5,train
44.23549295774648,-81.20676056338027,0.0,2026-03-25 01:10:00,52448.024410060185,-7.734839885407976,58.319462197548525,False,train_run_5,train
44.25802816901408,-81.17295774647887,0.0,2026-03-25 01:15:00,52373.86713972874,-7.751806459508677,58.2964722788457,False,train_run_5,train
44.28056338028169,-81.13915492957746,0.0,2026-03-25 01:20:00,52292.402884362644,-7.769150213406939,58.265450758606036,False,train_run_5,train
44.30309859154929,-81.10535211267604,0.0,2026-03-25 01:25:00,52206.17692713211,-7.786735408712979,58.22694345856106,False,train_run_5,train
44.3256338028169,-81.07154929577464,0.0,2026-03-25 01:30:00,52117.88332663731,-7.804424417430638,58.18162791227535,False,train_run_5,train
