label,score
0,907.204345703125
0,898.8519744873047
0,890.1464080810547
0,882.1309509277344
0,874.8933563232422
0,868.5771789550781
0,863.3942642211914
0,859.4059829711914
0,856.661979675293
0,855.1997451782227
0,855.044189453125
0,856.2074279785156
0,858.6886596679688
0,862.4741516113281
0,867.537483215332
0,873.8399810791016
0,881.3326110839844
0,889.8837585449219
0,899.2824249267578
0,909.4457855224609
0,920.2835235595703
0,931.6986694335938
0,943.5886840820312
0,955.8462982177734
0,968.3607025146484
0,981.0184936523438
0,993.7049407958984
0,1006.3049621582031
0,1018.704345703125
0,1030.7906799316406
0,1042.4548645019531
0,1053.5917663574219
0,1064.101318359375
0,1073.8896789550781
0,1082.8700256347656
0,1090.96337890625
0,1098.0995788574219
0,1104.2176208496094
0,1109.311767578125
0,1113.4983825683594
0,1116.7441711425781
0,1119.0248107910156
0,1120.3255920410156
0,1120.6413269042969
0,1119.9764404296875
0,1118.344970703125
0,1115.770263671875
0,1112.28515625
0,1107.9307556152344
0,1102.7550048828125
0,1096.7762451171875
0,1089.900146484375
0,1082.2027282714844
0,1073.7679443359375
0,1064.6870727539062
0,1055.0576782226562
0,1044.982666015625
0,1034.5692443847656
0,1023.9279479980469
0,1013.1715393066406
0,1002.4139099121094
0,991.7689208984375
0,981.3492889404297
0,971.2656707763672
0,961.6252288818359
0,952.5308685302734
0,944.0801391601562
0,936.3642730712891
0,929.4673461914062
0,923.6174468994141
0,918.9329376220703
0,915.4693756103516
0,913.2704315185547
0,912.3672943115234
0,912.7785339355469
0,914.5098419189453
0,917.5539093017578
0,921.8907318115234
0,927.4874725341797
0,934.2993774414062
0,942.2716217041016
0,951.1782073974609
0,960.8919830322266
0,971.3263092041016
0,982.3873901367188
0,993.9754486083984
0,1005.9853210449219
0,1018.3078308105469
0,1030.8307800292969
0,1043.43994140625
0,1056.0202331542969
0,1068.4568176269531
0,1080.6362915039062
0,1092.44775390625
0,1103.7838439941406
0,1114.5419616699219
0,1124.6250305175781
0,1133.9425048828125
0,1142.4114990234375
0,1149.957275390625
0,1156.5142822265625
0,1162.0262756347656
0,1166.6070861816406
0,1170.2626647949219
0,1172.964111328125
0,1174.69189453125
0,1175.4360656738281
0,1175.1961669921875
0,1173.9815673828125
0,1171.8109436035156
0,1168.71240234375
0,1164.7231750488281
0,1159.8886413574219
0,1154.2608947753906
0,1147.7478942871094
0,1140.3743896484375
0,1132.220703125
1,907.59912109375
1,899.2467498779297
1,890.5411834716797
1,882.5257263183594
1,875.2881317138672
1,868.9719543457031
1,863.7890396118164
1,859.8007583618164
1,857.056755065918
1,855.5945205688477
1,855.43896484375
1,856.6022033691406
1,859.0834350585938
1,862.8689270019531
1,867.932258605957
1,874.2347564697266
1,881.7273864746094
1,890.2785339355469
1,899.6772003173828
1,909.8405609130859
1,920.6782989501953
1,932.0934448242188
1,943.9834594726562
1,956.2410736083984
1,968.7554779052734
1,981.4132690429688
1,994.0997161865234
1,1006.6997375488281
1,1019.09912109375
1,1031.1854553222656
1,1042.8496398925781
1,1053.9865417480469
1,1064.49609375
1,1074.2844543457031
1,1083.2648010253906
1,1091.358154296875
1,1098.4943542480469
1,1104.6123962402344
1,1109.70654296875
1,1113.8931579589844
1,1117.1389465332031
1,1119.4195861816406
1,1120.7203674316406
1,1121.0361022949219
1,1120.3712158203125
1,1118.73974609375
1,1116.1650390625
1,1112.679931640625
1,1108.3255310058594
1,1103.1497802734375
1,1097.1710205078125
1,1090.294921875
1,1082.5975036621094
1,1074.15966796875
1,1046.3276672363281
1,1017.9478149414062
1,989.1210174560547
1,960.9099731445312
1,934.1357879638672
1,940.5599822998047
1,929.8037567138672
1,919.16015625
1,908.7418365478516
1,898.65966796875
1,889.0211791992188
1,879.9310760498047
1,890.2320861816406
1,901.2670135498047
1,913.1238708496094
1,925.0719757080078
1,936.5046234130859
1,915.8641510009766
1,913.6652069091797
1,912.7620697021484
1,913.1733093261719
1,914.9046173095703
1,917.9486846923828
1,922.2855072021484
1,927.8822479248047
1,934.6941528320312
1,942.6663970947266
1,951.5729827880859
1,961.2867584228516
1,971.7210845947266
1,982.7821655273438
1,994.3702239990234
1,1006.3800964355469
1,1018.7026062011719
1,1031.2255554199219
1,1043.834716796875
1,1056.4150085449219
1,1068.8515930175781
1,1081.0310668945312
1,1092.842529296875
1,1104.1786193847656
1,1114.9367370605469
1,1125.0198059082031
1,1134.3372802734375
1,1142.8062744140625
1,1150.35205078125
1,1156.9090576171875
1,1162.4210510253906
1,1167.0018615722656
1,1170.6574401855469
1,1173.35888671875
1,1175.086669921875
1,1175.8308410644531
1,1175.5909423828125
1,1174.3763427734375
1,1172.2057189941406
1,1169.107177734375
1,1165.1179504394531
1,1160.2834167480469
1,1154.6556701660156
1,1148.1426696777344
1,1140.7691650390625
1,1132.615478515625
