track_id,timestamp,latitude_deg,longitude_deg,altitude_m,source_file,baseline_residual_score,baseline_is_false_positive,final_anomaly_score,fusion_is_false_positive,is_injected_anomaly,observed_total_nt,observed_declination_deg,observed_inclination_deg,dataset_split,baseline_total_nt,baseline_declination_deg,baseline_inclination_deg,residual_total_nt,residual_declination_deg,residual_inclination_deg,delta_residual_total_nt,rolling_residual_total_nt,spatial_anomaly_score,temporal_anomaly_score,is_anomaly,baseline_is_anomaly
nominal_eval_run_6,1970-01-01 00:29:34.568400,45.6664335664,-79.5503496503,250.0,nominal_eval_run_6.jsonl,0.6886707810733088,False,0.1969104163348675,True,False,52044.7065032402,-7.5517350071,57.8982184141,nominal_eval,52939.82394448219,-8.246928609324568,46.493424117195666,-895.117441241986,0.6951936022245686,11.404794296904335,40.42541698898276,-935.09991543733,0.109415606,0.26849708,True,False
nominal_eval_run_6,1970-01-01 00:29:34.568700,45.6776223776,-79.5335664336,250.0,nominal_eval_run_6.jsonl,0.6567951434705518,False,0.1969104163348675,True,False,52087.5749921455,-7.5507717349,57.8657168443,nominal_eval,52941.26125908317,-8.24483427712833,46.50229374851782,-853.6862669376715,0.6940625422283304,11.363423095782181,41.43117430431448,-894.782188803542,0.109415606,0.26849708,True,False
nominal_eval_run_6,1970-01-01 00:29:34.569000,45.6888111888,-79.5167832168,250.0,nominal_eval_run_6.jsonl,0.6244002421511289,False,0.1969104163348675,True,False,52131.1181703701,-7.5501930269,57.8329299168,nominal_eval,52942.69833672204,-8.242739101497904,46.511161606479604,-811.5801663519378,0.692546074597904,11.321768310320394,42.10610058573366,-853.4612915105317,0.109415606,0.26849708,True,False
nominal_eval_run_6,1970-01-01 00:29:34.569300,45.7,-79.5,250.0,nominal_eval_run_6.jsonl,0.5917446123994099,False,0.1969104163348675,True,False,52175.0,-7.55,57.8,nominal_eval,52944.13517732547,-8.2406430830126,46.52002769074283,-769.1351773254719,0.6906430830126,11.279972309257168,42.44498902646592,-811.4672035383604,0.109415606,0.26849708,True,False
nominal_eval_run_7,1970-01-01 00:29:34.569600,44.28,-82.12,500.0,nominal_eval_run_7_fallback.jsonl,0.4148813014881666,False,0.22018519937992098,True,False,52210.0,-7.5,57.76,nominal_eval,52749.25257062373,-8.510114003190232,45.38075223457572,-539.2525706237284,1.0101140031902318,12.379247765424275,229.8826067017435,-706.6559714337127,0.10307205,0.31600505,True,False
nominal_eval_run_7,1970-01-01 00:29:34.569900,44.2911888112,-82.1032167832,500.0,nominal_eval_run_7_fallback.jsonl,0.3822485274510478,False,0.22018519937992098,True,False,52253.8818296299,-7.5001930269,57.7929299168,nominal_eval,52750.71911852611,-8.508147905963986,45.389838968405535,-496.83728889621125,1.0079548790639858,12.403090948394464,42.41528172751714,-601.7416789484705,0.10307205,0.31600505,True,False
nominal_eval_run_7,1970-01-01 00:29:34.570200,44.3023776224,-82.0864335664,500.0,nominal_eval_run_7_fallback.jsonl,0.3498761246922748,False,0.22018519937992098,True,False,52297.4250078545,-7.5007717349,57.8257168443,nominal_eval,52752.185439243956,-8.50618088596231,45.398923971298316,-454.76043138945533,1.0054091510623104,12.42679287300168,42.076857506755914,-496.9500969697983,0.10307205,0.31600505,True,False
nominal_eval_run_7,1970-01-01 00:29:34.570500,44.3135664336,-82.0696503497,500.0,nominal_eval_run_7_fallback.jsonl,0.3180226284952211,False,0.22018519937992098,True,False,52340.2934967598,-7.5017350071,57.8582184141,nominal_eval,52753.65153270265,-8.504212943735626,45.40800724290762,-413.35803594285244,1.0024779366356258,12.450211171192379,41.402395446602895,-454.985252076173,0.10307205,0.31600505,True,False
nominal_eval_run_1,2026-03-24 04:55:00.000000,44.52957746478873,-78.8056338028169,0.0,nominal_eval_run_1.csv,1.0020413261924999,True,0.18457624316215515,False,False,51574.54924139397,-7.902565431207841,58.49987763834263,nominal_eval,52876.97805436357,-8.391903461816216,45.58302891967638,-1302.4288129695997,0.48933803060837544,12.916848718666252,-55.83112531536608,-1242.7172858309616,0.14326416,0.21837704,False,True
nominal_eval_run_1,2026-03-24 05:00:00.000000,44.55211267605634,-78.7718309859155,0.0,nominal_eval_run_1.csv,1.0347679919286825,True,0.1797508589923382,False,False,51534.94905215856,-7.887510142471844,58.49694395201477,nominal_eval,52879.9151849902,-8.387675027803105,45.60125066401001,-1344.966132831636,0.5001648853312615,12.895693288004757,-42.537319862036384,-1297.9975444851564,0.14512585,0.20808041,False,True
nominal_eval_run_1,2026-03-24 05:05:00.000000,44.57464788732394,-78.73802816901409,0.0,nominal_eval_run_1.csv,1.0563149726950936,True,0.1797508589923382,False,False,51509.8789945191,-7.873335239390391,58.48526656756179,nominal_eval,52882.85136606477,-8.383443137555126,45.6194653540302,-1372.9723715456712,0.5101078981647351,12.86580121353159,-28.006238714035135,-1340.1224391156356,0.14512585,0.20808041,False,True
nominal_eval_run_1,2026-03-24 05:10:00.000000,44.59718309859155,-78.70422535211269,0.0,nominal_eval_run_1.csv,1.0660796307732197,True,0.1797508589923382,False,False,51500.12236165738,-7.860151659799137,58.46505094784145,nominal_eval,52885.7865969988,-8.379207795765442,45.637672986919256,-1385.6642353414209,0.5190561359663048,12.827377960922192,-12.691863795749668,-1367.8675799062428,0.14512585,0.20808041,False,True
nominal_eval_run_1,2026-03-24 05:15:00.000000,44.61971830985915,-78.67042253521127,0.0,nominal_eval_run_1.csv,1.0638274345164767,True,0.1797508589923382,False,False,51505.98399148432,-7.848062583083343,58.436652785433445,nominal_eval,52888.72087720395,-8.374969007130387,45.65587355986051,-1382.7368857196343,0.526906424047044,12.780779225572935,2.9273496217865613,-1380.4578308689088,0.14512585,0.20808041,False,True
nominal_eval_run_1,2026-03-24 05:20:00.000000,44.64225352112676,-78.63661971830986,0.0,nominal_eval_run_1.csv,1.049699286083059,True,0.15421888828277588,False,False,51527.28074223202,-7.837162622659285,58.40057174425037,nominal_eval,52891.654206092084,-8.370726776349434,45.67406707003841,-1364.3734638600654,0.5335641536901488,12.72650467421196,18.363421859568916,-1377.59152830704,0.14529935,0.1615167,False,True
nominal_eval_run_1,2026-03-24 05:25:00.000000,44.66478873239436,-78.60281690140846,0.0,nominal_eval_run_1.csv,1.0242071190505733,True,0.15421888828277588,False,False,51563.34721456655,-7.827537085495995,58.357442667982085,nominal_eval,52894.58658307518,-8.36648110812521,45.69225351463853,-1331.239368508628,0.5389440226292157,12.665189153343555,33.13409535143728,-1359.4499060294427,0.14529935,0.1615167,False,True
nominal_eval_run_2,2026-03-24 11:00:00.000000,44.7321126761,-78.9918309859,250.0,nominal_eval_run_2.jsonl,1.0177350478743925,True,0.15828864127397538,False,False,51569.9490521586,-7.8375101425,58.456943952,nominal_eval,52892.77618081333,-8.368003831399404,45.74654340516314,-1322.8271286547315,0.5304936888994041,12.710400546836865,-42.53089867034578,-1275.8649611021076,0.13918692,0.17391732,False,True
nominal_eval_run_2,2026-03-24 11:05:00.000000,44.7546478873,-78.958028169,250.0,nominal_eval_run_2.jsonl,1.0392770874844444,True,0.15828864127397538,False,False,51544.8789945191,-7.8233352394,58.4452665676,nominal_eval,52895.70593949366,-8.363781124642106,45.76470164775253,-1350.8269449745567,0.5404458852421055,12.68056491984747,-27.999816319825186,-1317.9834345378913,0.13918692,0.17391732,False,True
nominal_eval_run_2,2026-03-24 11:10:00.000000,44.7771830986,-78.9242253521,250.0,nominal_eval_run_2.jsonl,1.0490368034969288,True,0.15828864127397538,False,False,51535.1223616574,-7.8101516598,58.4250509478,nominal_eval,52898.63474685163,-8.359554963872784,45.78285281082392,-1363.5123851942335,0.5494033040727837,12.642198136976084,-12.68544021967682,-1345.7221529411738,0.13918692,0.17391732,False,True
nominal_eval_run_2,2026-03-24 11:15:00.000000,44.7997183099,-78.8904225352,250.0,nominal_eval_run_2.jsonl,1.0467796642583937,True,0.15828864127397538,False,False,51540.9839914843,-7.7980625831,58.3966527854,nominal_eval,52901.56260228989,-8.355325353799728,45.800996891488815,-1360.5786108055836,0.5572627706997277,12.595655893911186,2.9337743886499084,-1358.3059803247913,0.13918692,0.17391732,False,True
